symbol,tour,bet,pnl
BLIND_33,5,160.0,-160.0
BLIND_33,6,320.0,-320.0
BLIND_33,7,640.0,640.0
BLIND_33,8,10.0,10.0
BLIND_33,9,10.0,10.0
BLIND_33,10,10.0,10.0
BLIND_34,1,10.0,-10.0
BLIND_34,2,20.0,20.0
BLIND_34,3,10.0,-10.0
BLIND_34,4,20.0,-20.0
BLIND_34,5,40.0,-40.0
BLIND_34,6,80.0,80.0
BLIND_34,7,10.0,10.0
BLIND_34,8,10.0,10.0
BLIND_34,9,10.0,-10.0
BLIND_34,10,20.0,20.0
BLIND_35,1,10.0,-10.0
BLIND_35,2,20.0,20.0
BLIND_35,3,10.0,10.0
BLIND_35,4,10.0,10.0
BLIND_35,5,10.0,10.0
BLIND_35,6,10.0,10.0
BLIND_35,7,10.0,-10.0
BLIND_35,8,20.0,20.0
BLIND_35,9,10.0,-10.0
BLIND_35,10,20.0,20.0
BLIND_36,1,10.0,10.0
BLIND_36,2,10.0,-10.0
BLIND_36,3,20.0,20.0
BLIND_36,4,10.0,10.0
BLIND_36,5,10.0,-10.0
BLIND_36,6,20.0,20.0
BLIND_36,7,10.0,-10.0
BLIND_36,8,20.0,-20.0
BLIND_36,9,40.0,40.0
BLIND_36,10,10.0,-10.0
BLIND_37,1,10.0,10.0
BLIND_37,2,10.0,-10.0
BLIND_37,3,20.0,-20.0
BLIND_37,4,40.0,-40.0
BLIND_37,5,80.0,80.0
BLIND_37,6,10.0,10.0
BLIND_37,7,10.0,10.0
BLIND_37,8,10.0,-10.0
BLIND_37,9,20.0,-20.0
BLIND_37,10,40.0,40.0
BLIND_38,1,10.0,-10.0
BLIND_38,2,20.0,-20.0
BLIND_38,3,40.0,40.0
BLIND_38,4,10.0,-10.0
BLIND_38,5,20.0,-20.0
BLIND_38,6,40.0,-40.0
BLIND_38,7,80.0,80.0
BLIND_38,8,10.0,10.0
BLIND_38,9,10.0,10.0
BLIND_38,10,10.0,10.0
BLIND_39,1,10.0,-10.0
BLIND_39,2,20.0,-20.0
BLIND_39,3,40.0,40.0
BLIND_39,4,10.0,10.0
BLIND_39,5,10.0,10.0
BLIND_39,6,10.0,-10.0
BLIND_39,7,20.0,-20.0
BLIND_39,8,40.0,-40.0
BLIND_39,9,80.0,-80.0
BLIND_39,10,160.0,160.0
BLIND_40,1,10.0,10.0
BLIND_40,2,10.0,-10.0
BLIND_40,3,20.0,-20.0
BLIND_40,4,40.0,-40.0
BLIND_40,5,80.0,-80.0
BLIND_40,6,160.0,-160.0
BLIND_40,7,320.0,320.0
BLIND_40,8,10.0,-10.0
BLIND_40,9,20.0,20.0
BLIND_40,10,10.0,-10.0
BLIND_41,1,10.0,-10.0
BLIND_41,2,20.0,-20.0
BLIND_41,3,40.0,-40.0
BLIND_41,4,80.0,-80.0
BLIND_41,5,160.0,160.0
BLIND_41,6,10.0,10.0
BLIND_41,7,10.0,-10.0
BLIND_41,8,20.0,20.0
BLIND_41,9,10.0,-10.0
BLIND_41,10,20.0,-20.0
BLIND_42,1,10.0,10.0
BLIND_42,2,10.0,10.0
BLIND_42,3,10.0,-10.0
BLIND_42,4,20.0,-20.0
BLIND_42,5,40.0,-40.0
BLIND_42,6,80.0,-80.0
BLIND_42,7,160.0,-160.0
BLIND_42,8,320.0,320.0
BLIND_42,9,10.0,-10.0
BLIND_42,10,20.0,-20.0
BLIND_43,1,10.0,-10.0
BLIND_43,2,20.0,-20.0
BLIND_43,3,40.0,40.0
BLIND_43,4,10.0,-10.0
BLIND_43,5,20.0,20.0
BLIND_43,6,10.0,-10.0
BLIND_43,7,20.0,20.0
BLIND_43,8,10.0,10.0
BLIND_43,9,10.0,-10.0
BLIND_43,10,20.0,20.0
BLIND_44,1,10.0,-10.0
BLIND_44,2,20.0,-20.0
